NOME,SIGLA,STATUS
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",IFPI,3. POSSUI
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO",IFRJ,1. NÃO INFORMADO
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE",IFRN,1. NÃO INFORMADO
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL",IFRS,1. NÃO INFORMADO
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SERTÃO PERNAMBUCANO",IFSPE,3. POSSUI
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS",IFSULDEMINAS,1. NÃO INFORMADO
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TRIÂNGULO MINEIRO",IFTRIAMG,1. NÃO INFORMADO
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA",IFFAR,3. POSSUI
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE",IFFLU,1. NÃO INFORMADO
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO",IF-GOIANO,1. NÃO INFORMADO
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUDESTE DE MINAS GERAIS",IFMGSE,3. POSSUI
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE",IFSUL,3. POSSUI
"INSTITUTO FEDERAL DO EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE TOCANTINS",IFTO,3. POSSUI
INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL,INPI,3. POSSUI
INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,INCRA,1. NÃO INFORMADO
INSTITUTO NACIONAL DE ESTUDOS E PESQUISAS EDUCACIONAIS ANÍSIO TEIXEIRA,INEP,1. NÃO INFORMADO
"INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECNOLOGIA",INMETRO,1. NÃO INFORMADO
INSTITUTO NACIONAL DE TECNOLOGIA DA INFORMAÇÃO,ITI,3. POSSUI
INSTITUTO NACIONAL DO SEGURO SOCIAL,INSS,1. NÃO INFORMADO
"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,3. POSSUI
MINISTÉRIO DA CIDADANIA,MCIDADANIA,1. NÃO INFORMADO
"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",MCTI,3. POSSUI
MINISTÉRIO DA DEFESA,MD,2. NÃO POSSUI
MINISTÉRIO DA ECONOMIA,ME,1. NÃO INFORMADO
MINISTÉRIO DA EDUCAÇÃO,MEC,1. NÃO INFORMADO
MINISTÉRIO DA INFRAESTRUTURA,MINFRA,1. NÃO INFORMADO
MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,1. NÃO INFORMADO
"MINISTÉRIO DA MULHER, DA FAMÍLIA E DOS DIREITOS HUMANOS",MMFDH,3. POSSUI
MINISTÉRIO DA SAÚDE,MS,1. NÃO INFORMADO
MINISTÉRIO DAS COMUNICAÇÕES,MCOM,1. NÃO INFORMADO
MINISTÉRIO DAS RELAÇÕES EXTERIORES,MRE,1. NÃO INFORMADO
MINISTÉRIO DE MINAS E ENERGIA,MME,1. NÃO INFORMADO
MINISTÉRIO DO DESENVOLVIMENTO REGIONAL,MDR,1. NÃO INFORMADO
MINISTÉRIO DO MEIO AMBIENTE,MMA,3. POSSUI
MINISTÉRIO DO TRABALHO E PREVIDÊNCIA,MTP,1. NÃO INFORMADO
MINISTÉRIO DO TURISMO,MTUR,3. POSSUI
SECRETARIA DE GOVERNO DA PRESIDÊNCIA DA REPÚBLICA,SEGOV/PR,1. NÃO INFORMADO
SECRETARIA-GERAL DA PRESIDÊNCIA DA REPÚBLICA,SGPR,3. POSSUI
SUPERINTENDÊNCIA DA ZONA FRANCA DE MANAUS,SUFRAMA,1. NÃO INFORMADO
SUPERINTENDÊNCIA DE DESENVOLVIMENTO DO CENTRO-OESTE,SUDECO,3. POSSUI
SUPERINTENDÊNCIA DE SEGUROS PRIVADOS,SUSEP,2. NÃO POSSUI
SUPERINTENDÊNCIA DO DESENVOLVIMENTO DA AMAZÔNIA,SUDAM,3. POSSUI
SUPERINTENDÊNCIA DO DESENVOLVIMENTO DO NORDESTE,SUDENE,3. POSSUI
SUPERINTENDÊNCIA NACIONAL DE PREVIDÊNCIA COMPLEMENTAR,PREVIC,1. NÃO INFORMADO
UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,UNILAB,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL DA BAHIA,UFBA,3. POSSUI
UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,UFFS,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,UNILA,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL-MG,2. NÃO POSSUI
UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL DE CATALÃO,UFCAT,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL DE GOIÁS,UFG,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL DE ITAJUBÁ,UNIFEI,3. POSSUI
UNIVERSIDADE FEDERAL DE JATAÍ,UFJ,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL DE RONDONÓPOLIS,UFR,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,3. POSSUI
UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,3. POSSUI
UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,3. POSSUI
UNIVERSIDADE FEDERAL DO AGRESTE DE PERNAMBUCO,UFAPE,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL DO CARIRI,UFCA,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL DO CEARÁ,UFC,3. POSSUI
UNIVERSIDADE FEDERAL DO DELTA DO PARNAÍBA,UFDPAR,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,3. POSSUI
UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,UFOB,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,UFOPA,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL DO PARÁ,UFPA,3. POSSUI
UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,3. POSSUI
UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,3. POSSUI
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,3. POSSUI
UNIVERSIDADE FEDERAL DO SUL DA BAHIA,UFESBA,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,UNIFESSPA,3. POSSUI
UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,UFTM,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,UFVJM,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL FLUMINENSE,UFF,3. POSSUI
UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,3. POSSUI
UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,1. NÃO INFORMADO
UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA-RN,3. POSSUI
UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,1. NÃO INFORMADO
