Column1;Column2;Column3
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO";IFPE;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RONDÔNIA";IFRO;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA";IFRR;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO";IFSP;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE";IFS;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ACRE";IFAC;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ";IFAP;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS";IFAM;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA"
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ";IFCE;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO";IFMA;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MATO GROSSO DO SUL";IFMS;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS";IFNMG;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ";IFPA;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ";IFPI;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO";IFRJ;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL";IFRS;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SERTÃO PERNAMBUCANO";IFSPE;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS";IFSULDEMINAS;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TRIÂNGULO MINEIRO";IFTRIAMG;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA";IFFAR;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE";IFFLU;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO";IF-GOIANO;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUDESTE DE MINAS GERAIS";IFMGSE;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE";IFSUL;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DO EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE TOCANTINS";IFTO;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL;INPI;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA;INCRA;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
INSTITUTO NACIONAL DE ESTUDOS E PESQUISAS EDUCACIONAIS ANÍSIO TEIXEIRA;INEP;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECNOLOGIA";INMETRO;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
INSTITUTO NACIONAL DE TECNOLOGIA DA INFORMAÇÃO;ITI;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
INSTITUTO NACIONAL DO SEGURO SOCIAL;INSS;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
MINISTÉRIO DAS COMUNICAÇÕES;MCOM;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
SECRETARIA DE GOVERNO DA PRESIDÊNCIA DA REPÚBLICA;SEGOV/PR;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
SECRETARIA-GERAL DA PRESIDÊNCIA DA REPÚBLICA;SGPR;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
SUPERINTENDÊNCIA DA ZONA FRANCA DE MANAUS;SUFRAMA;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
SUPERINTENDÊNCIA DE DESENVOLVIMENTO DO CENTRO-OESTE;SUDECO;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
SUPERINTENDÊNCIA DE SEGUROS PRIVADOS;SUSEP;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
SUPERINTENDÊNCIA DO DESENVOLVIMENTO DA AMAZÔNIA;SUDAM;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
SUPERINTENDÊNCIA DO DESENVOLVIMENTO DO NORDESTE;SUDENE;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
SUPERINTENDÊNCIA NACIONAL DE PREVIDÊNCIA COMPLEMENTAR;PREVIC;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA;UNILAB;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DA BAHIA;UFBA;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DA FRONTEIRA SUL;UFFS;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA;UNILA;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DA PARAÍBA;UFPB;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DE ALAGOAS;UFAL;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DE ALFENAS;UNIFAL-MG;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;UFCG;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DE CATALÃO;UFCAT;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DE GOIÁS;UFG;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DE ITAJUBÁ;UNIFEI;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DE JATAÍ;UFJ;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DE LAVRAS;UFLA;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DE MINAS GERAIS;UFMG;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DE RONDONÓPOLIS;UFR;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DE SANTA MARIA;UFSM;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DE SÃO PAULO;UNIFESP;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DO AGRESTE DE PERNAMBUCO;UFAPE;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DO CARIRI;UFCA;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DO CEARÁ;UFC;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DO DELTA DO PARNAÍBA;UFDPAR;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO;UFES;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;UNIRIO;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DO OESTE DA BAHIA;UFOB;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DO PARÁ;UFPA;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA;UFRB;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UFRJ;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DO SUL DA BAHIA;UFESBA;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ;UNIFESSPA;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO;UFTM;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI;UFVJM;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL FLUMINENSE;UFF;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA;UFRA;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;UFRPE;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO;UFRRJ;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;UFERSA-RN;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ;UTFPR;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDAÇÃO UNIVERSIDADE DO AMAZONAS;UFAM;3. DOCUMENTAÇÃO EM ANÁLISE
FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;3. DOCUMENTAÇÃO EM ANÁLISE
FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE;UFAC;3. DOCUMENTAÇÃO EM ANÁLISE
FUNDAÇÃO UNIVERSIDADE FEDERAL DO AMAPÁ;UNIFAP;3. DOCUMENTAÇÃO EM ANÁLISE
ADVOCACIA-GERAL DA UNIÃO;AGU;3. DOCUMENTAÇÃO EM ANÁLISE
AGÊNCIA ESPACIAL BRASILEIRA;AEB;3. DOCUMENTAÇÃO EM ANÁLISE
AGÊNCIA NACIONAL DE ÁGUAS;ANA;3. DOCUMENTAÇÃO EM ANÁLISE
AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL;ANAC;3. DOCUMENTAÇÃO EM ANÁLISE
AGÊNCIA NACIONAL DE ENERGIA ELÉTRICA;ANEEL;3. DOCUMENTAÇÃO EM ANÁLISE
FUNDAÇÃO JOAQUIM NABUCO;FUNDAJ;3. DOCUMENTAÇÃO EM ANÁLISE
FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;3. DOCUMENTAÇÃO EM ANÁLISE
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA PARAÍBA";IFPB;3. DOCUMENTAÇÃO EM ANÁLISE
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS";IFMG;3. DOCUMENTAÇÃO EM ANÁLISE
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO";IF ES;3. DOCUMENTAÇÃO EM ANÁLISE
MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO;MAPA;3. DOCUMENTAÇÃO EM ANÁLISE
MINISTÉRIO DA CIDADANIA;MCIDADANIA;3. DOCUMENTAÇÃO EM ANÁLISE
MINISTÉRIO DA ECONOMIA;ME;3. DOCUMENTAÇÃO EM ANÁLISE
MINISTÉRIO DA INFRAESTRUTURA;MINFRA;3. DOCUMENTAÇÃO EM ANÁLISE
MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA;MJSP;3. DOCUMENTAÇÃO EM ANÁLISE
"MINISTÉRIO DA MULHER, DA FAMÍLIA E DOS DIREITOS HUMANOS";MMFDH;3. DOCUMENTAÇÃO EM ANÁLISE
MINISTÉRIO DA SAÚDE;MS;3. DOCUMENTAÇÃO EM ANÁLISE
MINISTÉRIO DO TURISMO;MTUR;3. DOCUMENTAÇÃO EM ANÁLISE
UNIVERSIDADE FEDERAL DO OESTE DO PARÁ;UFOPA;3. DOCUMENTAÇÃO EM ANÁLISE
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL;3. DOCUMENTAÇÃO EM ANÁLISE
COMANDO DA MARINHA;CMAR;3. DOCUMENTAÇÃO EM ANÁLISE
MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES;MCTI;3. DOCUMENTAÇÃO EM ANÁLISE
MINISTÉRIO DA DEFESA;MD;3. DOCUMENTAÇÃO EM ANÁLISE
MINISTÉRIO DE MINAS E ENERGIA;MME;3. DOCUMENTAÇÃO EM ANÁLISE
AGÊNCIA NACIONAL DE MINERAÇÃO;ANM;3. DOCUMENTAÇÃO EM ANÁLISE
AGÊNCIA NACIONAL DE TRANSPORTES AQUAVIÁRIOS;ANTAQ;3. DOCUMENTAÇÃO EM ANÁLISE
AGÊNCIA NACIONAL DE TRANSPORTES TERRESTRES;ANTT;3. DOCUMENTAÇÃO EM ANÁLISE
AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS;ANP;3. DOCUMENTAÇÃO EM ANÁLISE
COMANDO DA AERONÁUTICA;COMAER;3. DOCUMENTAÇÃO EM ANÁLISE
CONTROLADORIA-GERAL DA UNIÃO;CGU;6. ATENDE
DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS;DNOCS;3. DOCUMENTAÇÃO EM ANÁLISE
FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE;UFCSPA;3. DOCUMENTAÇÃO EM ANÁLISE
FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA;UNIR;3. DOCUMENTAÇÃO EM ANÁLISE
FUNDAÇÃO UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;3. DOCUMENTAÇÃO EM ANÁLISE
FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE;UFS;3. DOCUMENTAÇÃO EM ANÁLISE
FUNDAÇÃO UNIVERSIDADE FEDERAL DO MARANHÃO;UFMA;3. DOCUMENTAÇÃO EM ANÁLISE
FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS;UFT;3. DOCUMENTAÇÃO EM ANÁLISE
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA";IF BA;3. DOCUMENTAÇÃO EM ANÁLISE
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS";IFAL;3. DOCUMENTAÇÃO EM ANÁLISE
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS";IFGO;3. DOCUMENTAÇÃO EM ANÁLISE
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA";IFSC;3. DOCUMENTAÇÃO EM ANÁLISE
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARANÁ";IFPR;3. DOCUMENTAÇÃO EM ANÁLISE
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE";IFRN;3. DOCUMENTAÇÃO EM ANÁLISE
MINISTÉRIO DA EDUCAÇÃO;MEC;3. DOCUMENTAÇÃO EM ANÁLISE
MINISTÉRIO DAS RELAÇÕES EXTERIORES;MRE;3. DOCUMENTAÇÃO EM ANÁLISE
MINISTÉRIO DO DESENVOLVIMENTO REGIONAL;MDR;3. DOCUMENTAÇÃO EM ANÁLISE
MINISTÉRIO DO MEIO AMBIENTE;MMA;3. DOCUMENTAÇÃO EM ANÁLISE
