NOME,SIGLA,AVALIAÇÃO
FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA,UNIPAMPA,1. NÃO INICIADA
FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,2. EM EXECUÇÃO
FUNDAÇÃO UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,1. NÃO INICIADA
FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,2. EM EXECUÇÃO
FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,1. NÃO INICIADA
FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,FNDE,1. NÃO INICIADA
GABINETE DE SEGURANÇA INSTITUCIONAL DA PRESIDÊNCIA DA REPÚBLICA,GSI/PR,1. NÃO INICIADA
INSTITUTO BRASILEIRO DE MUSEUS,IBRAM,1. NÃO INICIADA
INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS,IBAMA,1. NÃO INICIADA
INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,ICMBIO,1. NÃO INICIADA
INSTITUTO DE PESQUISAS JARDIM BOTÂNICO DO RIO DE JANEIRO,JBRJ,1. NÃO INICIADA
INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL,IPHAN,1. NÃO INICIADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO",IF BAIANO,1. NÃO INICIADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE",IFC,1. NÃO INICIADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA",IF BA,2. EM EXECUÇÃO
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA PARAÍBA",IFPB,2. EM EXECUÇÃO
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS",IFAL,2. EM EXECUÇÃO
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE BRASÍLIA",IFB,1. NÃO INICIADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS",IFGO,2. EM EXECUÇÃO
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO",IF MT,1. NÃO INICIADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS",IFMG,2. EM EXECUÇÃO
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO",IFPE,1. NÃO INICIADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RONDÔNIA",IFRO,1. NÃO INICIADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA",IFRR,1. NÃO INICIADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA",IFSC,2. EM EXECUÇÃO
