Data,Tipo,Nome,Resposta,Servidores
30/08,Agencia,ANATEL,280,1507
30/08,Agencia,ANS,147,762
30/08,Agencia,ANTT,118,1207
30/08,Agencia,ANA,64,365
30/08,Agencia,ANCINE,46,433
30/08,Agencia,ANTAQ,36,424
30/08,Agencia,ANM,23,1079
30/08,Agencia,ANEEL,17,726
30/08,Agencia,ANVISA,14,1808
30/08,Agencia,ANP,3,936
30/08,Agencia,ANAC,1,1439
30/08,ADR,SUFRAMA,134,464
30/08,ADR,SUDAM,100,174
30/08,ADR,SUDECO,34,87
30/08,ADR,SUDENE,25,200
30/08,CGU,CGU,489,2041
