Data,Tipo,Nome,Resposta,Servidores
27/08,Agência,ANATEL,280,1507
27/08,Agência,ANS,147,762
27/08,Agência,ANTT,93,1207
27/08,Agência,ANA,64,365
27/08,Agência,ANCINE,46,433
27/08,Agência,ANTAQ,36,424
27/08,Agência,ANM,23,1079
27/08,Agência,ANEEL,17,726
27/08,Agência,ANVISA,14,1808
27/08,Agência,ANP,3,936
27/08,Agência,ANAC,1,1439
27/08,ADR,SUFRAMA,134,464
27/08,ADR,SUDAM,100,174
27/08,ADR,SUDECO,30,87
27/08,ADR,SUDENE,25,200
