orgao_superior_codigo_siorg,orgao_superior_nome,orgao_superior_sigla,orgao_codigo_siorg,orgao_nome,orgao_sigla,orgao_como_no_raiox_nome,orgao_como_no_raiox_sigla,ano_mes_referencia,quantidade_servidores_cedidos_apf,quantidade_servidores_cedidos_outros,quantidade_servidores_cedidos,quantidade_servidores_quadro_pessoal,quantidade_estagiarios
244,MINISTÉRIO DA EDUCAÇÃO,MEC,434,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",IFPI,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",IFPI,202203,4,6,10,2238,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,439,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE",IFRN,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE",IFRN,202203,8,21,29,2680,86
244,MINISTÉRIO DA EDUCAÇÃO,MEC,122381,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,UNIFESSPA,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,UNIFESSPA,202203,1,0,1,749,53
244,MINISTÉRIO DA EDUCAÇÃO,MEC,244,MINISTÉRIO DA EDUCAÇÃO,MEC,MINISTÉRIO DA EDUCAÇÃO,MEC,202203,0,0,0,251,7
244,MINISTÉRIO DA EDUCAÇÃO,MEC,253,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,FNDE,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,FNDE,202203,61,18,79,427,46
244,MINISTÉRIO DA EDUCAÇÃO,MEC,420,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,202203,8,47,55,3352,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,417,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,202203,9,103,112,5372,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,432,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,202203,3,3,6,2330,3
244,MINISTÉRIO DA EDUCAÇÃO,MEC,460,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,UFVJM,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,UFVJM,202203,2,1,3,1444,23
244,MINISTÉRIO DA EDUCAÇÃO,MEC,105793,UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,UNILA,UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,UNILA,202203,8,2,10,877,10
