orgao_superior_codigo_siorg,orgao_superior_nome,orgao_superior_sigla,orgao_codigo_siorg,orgao_nome,orgao_sigla,orgao_como_no_raiox_nome,orgao_como_no_raiox_sigla,ano_mes_referencia,quantidade_servidores_cedidos_apf,quantidade_servidores_cedidos_outros,quantidade_servidores_cedidos,quantidade_servidores_quadro_pessoal,quantidade_estagiarios
304,MINISTÉRIO DA SAÚDE,MS,2207,FUNDAÇÃO NACIONAL DE SAÚDE,FUNASA,FUNDAÇÃO NACIONAL DE SAÚDE,FUNASA,202203,52,256,308,1788,129
304,MINISTÉRIO DA SAÚDE,MS,304,MINISTÉRIO DA SAÚDE,MS,MINISTÉRIO DA SAÚDE,MS,202203,272,22716,22988,41548,395
304,MINISTÉRIO DA SAÚDE,MS,315,FUNDAÇÃO OSWALDO CRUZ,FIOCRUZ,FUNDAÇÃO OSWALDO CRUZ,FIOCRUZ,202203,35,23,58,4671,0
264359,MINISTÉRIO DAS COMUNICAÇÕES,MCOM,264359,MINISTÉRIO DAS COMUNICAÇÕES,MCOM,MINISTÉRIO DAS COMUNICAÇÕES,MCOM,202203,10,5,15,79,67
263,MINISTÉRIO DAS RELAÇÕES EXTERIORES,MRE,299,FUNDAÇÃO ALEXANDRE DE GUSMÃO,FUNAG,FUNDAÇÃO ALEXANDRE DE GUSMÃO,FUNAG,202203,11,6,17,43,9
263,MINISTÉRIO DAS RELAÇÕES EXTERIORES,MRE,263,MINISTÉRIO DAS RELAÇÕES EXTERIORES,MRE,MINISTÉRIO DAS RELAÇÕES EXTERIORES,MRE,202203,69,18,87,2996,179
2852,MINISTÉRIO DE MINAS E ENERGIA,MME,21089,AGÊNCIA NACIONAL DE ENERGIA ELÉTRICA,ANEEL,AGÊNCIA NACIONAL DE ENERGIA ELÉTRICA,ANEEL,202203,20,2,22,594,59
2852,MINISTÉRIO DE MINAS E ENERGIA,MME,25281,"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS",ANP,"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS",ANP,202203,35,10,45,696,110
2852,MINISTÉRIO DE MINAS E ENERGIA,MME,2852,MINISTÉRIO DE MINAS E ENERGIA,MME,MINISTÉRIO DE MINAS E ENERGIA,MME,202203,21,20,41,161,0
2852,MINISTÉRIO DE MINAS E ENERGIA,MME,222120,AGÊNCIA NACIONAL DE MINERAÇÃO,ANM,AGÊNCIA NACIONAL DE MINERAÇÃO,ANM,202203,25,11,36,695,52
235880,MINISTÉRIO DO DESENVOLVIMENTO REGIONAL,MDR,46876,AGÊNCIA NACIONAL DE ÁGUAS E SANEAMENTO BÁSICO,ANA,AGÊNCIA NACIONAL DE ÁGUAS E SANEAMENTO BÁSICO,ANA,202203,9,4,13,290,0
235880,MINISTÉRIO DO DESENVOLVIMENTO REGIONAL,MDR,100113,SUPERINTENDÊNCIA DO DESENVOLVIMENTO DO CENTRO-OESTE,SUDECO,SUPERINTENDÊNCIA DO DESENVOLVIMENTO DO CENTRO-OESTE,SUDECO,202203,11,1,12,69,8
235880,MINISTÉRIO DO DESENVOLVIMENTO REGIONAL,MDR,91144,SUPERINTENDÊNCIA DO DESENVOLVIMENTO DO NORDESTE,SUDENE,SUPERINTENDÊNCIA DO DESENVOLVIMENTO DO NORDESTE,SUDENE,202203,1,2,3,172,4
235880,MINISTÉRIO DO DESENVOLVIMENTO REGIONAL,MDR,235880,MINISTÉRIO DO DESENVOLVIMENTO REGIONAL,MDR,MINISTÉRIO DO DESENVOLVIMENTO REGIONAL,MDR,202203,93,26,119,564,35
235880,MINISTÉRIO DO DESENVOLVIMENTO REGIONAL,MDR,367,DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS,DNOCS,DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS,DNOCS,202203,3,4,7,739,46
235880,MINISTÉRIO DO DESENVOLVIMENTO REGIONAL,MDR,91138,SUPERINTENDÊNCIA DO DESENVOLVIMENTO DA AMAZÔNIA,SUDAM,SUPERINTENDÊNCIA DO DESENVOLVIMENTO DA AMAZÔNIA,SUDAM,202203,2,0,2,133,7
1927,MINISTÉRIO DO MEIO AMBIENTE,MMA,1927,MINISTÉRIO DO MEIO AMBIENTE,MMA,MINISTÉRIO DO MEIO AMBIENTE,MMA,202203,67,7,74,492,17
1927,MINISTÉRIO DO MEIO AMBIENTE,MMA,1812,INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS,IBAMA,INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS,IBAMA,202203,67,13,80,2443,0
1927,MINISTÉRIO DO MEIO AMBIENTE,MMA,91842,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,ICMBIO,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,ICMBIO,202203,9,4,13,1387,64
1927,MINISTÉRIO DO MEIO AMBIENTE,MMA,1913,INSTITUTO DE PESQUISAS JARDIM BOTÂNICO DO RIO DE JANEIRO,JBRJ,INSTITUTO DE PESQUISAS JARDIM BOTÂNICO DO RIO DE JANEIRO,JBRJ,202203,0,0,0,119,15
72084,MINISTÉRIO DO TURISMO,MTUR,72084,MINISTÉRIO DO TURISMO,MTUR,MINISTÉRIO DO TURISMO,MTUR,202203,135,65,200,693,0
72084,MINISTÉRIO DO TURISMO,MTUR,57682,AGÊNCIA NACIONAL DO CINEMA,ANCINE,AGÊNCIA NACIONAL DO CINEMA,ANCINE,202203,5,6,11,335,43
72084,MINISTÉRIO DO TURISMO,MTUR,984,FUNDAÇÃO BIBLIOTECA NACIONAL,FBN,FUNDAÇÃO BIBLIOTECA NACIONAL,FBN,202203,27,3,30,269,8
72084,MINISTÉRIO DO TURISMO,MTUR,2330,FUNDAÇÃO NACIONAL DE ARTES,FUNARTE,FUNDAÇÃO NACIONAL DE ARTES,FUNARTE,202203,19,4,23,176,0
72084,MINISTÉRIO DO TURISMO,MTUR,1782,FUNDAÇÃO CULTURAL PALMARES,FCP,FUNDAÇÃO CULTURAL PALMARES,FCP,202203,2,1,3,23,4
72084,MINISTÉRIO DO TURISMO,MTUR,100584,INSTITUTO BRASILEIRO DE MUSEUS,IBRAM,INSTITUTO BRASILEIRO DE MUSEUS,IBRAM,202203,15,1,16,374,16
72084,MINISTÉRIO DO TURISMO,MTUR,261,FUNDAÇÃO CASA DE RUI BARBOSA,FCRB,FUNDAÇÃO CASA DE RUI BARBOSA,FCRB,202203,1,0,1,95,0
72084,MINISTÉRIO DO TURISMO,MTUR,2045,INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL,IPHAN,INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL,IPHAN,202203,32,9,41,925,65
26,PRESIDÊNCIA DA REPÚBLICA,PR,1408,VICE-PRESIDÊNCIA DA REPÚBLICA,VPR,PRESIDÊNCIA DA REPÚBLICA,PR,202203,0,0,0,0,0
26,PRESIDÊNCIA DA REPÚBLICA,PR,27,GABINETE DE SEGURANÇA INSTITUCIONAL DA PRESIDÊNCIA DA REPÚBLICA,GSI/PR,PRESIDÊNCIA DA REPÚBLICA,PR,202203,9,0,9,655,0
26,PRESIDÊNCIA DA REPÚBLICA,PR,26,PRESIDÊNCIA DA REPÚBLICA,PR,PRESIDÊNCIA DA REPÚBLICA,PR,202203,4,2,6,124,125
